customer_id,age,gender,location,pages_viewed,time_spent_mins,product_views,cart_additions,cart_abandonment_rate,purchase_frequency,days_since_last_purchase,total_spending,payment_method,avg_review_rating,support_interactions,review_text,churn,rfm_recency,rfm_frequency,rfm_monetary,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_total_score,engagement_score,cart_conversion_rate,avg_order_value,support_burden,age_group,polarity,subjectivity,sentiment_label,sentiment_score,cluster,segment,pca1,pca2
CUST00038,68.0,0,3,123.0,130.27,64.0,45.0,0.984,7.0,155.0,2028.98,0,3.4,4.0,"It works, but nothing amazing.",1.0,155.0,7.0,2028.98,1,2,2,5,0.6557,0.016,289.85,0.5,3,0.6,0.9,Positive,0.8,1,Churned 🔴,-1.7637162439518206,-0.36609579182337726
CUST00039,61.0,0,6,38.0,52.44,53.0,22.0,0.123,15.0,840.0,3009.84,5,4.2,1.0,Highly recommend this product.,0.0,840.0,15.0,3009.84,4,3,3,10,0.3171,0.877,200.66,0.0625,3,0.16,0.54,Positive,0.58,0,At-Risk 🟡,0.20878945190359183,-0.440920121164266
CUST00040,69.0,0,4,123.0,9.22,6.0,43.0,0.901,17.0,320.0,242.22,1,3.3,5.0,"It works, but nothing amazing.",0.0,320.0,17.0,242.22,2,3,1,6,0.3809,0.099,14.25,0.2778,3,0.6,0.9,Positive,0.8,1,Churned 🔴,-0.9992147383973542,-1.102353369148868
CUST00041,20.0,0,4,62.0,38.81,17.0,42.0,0.664,7.0,934.0,4834.73,4,2.7,0.0,"It works, but nothing amazing.",1.0,934.0,7.0,4834.73,5,2,4,11,0.3438,0.336,690.68,0.0,0,0.6,0.9,Positive,0.8,0,At-Risk 🟡,0.08297269679552009,0.3891562039726826
CUST00042,54.0,0,6,156.0,7.24,46.0,32.0,0.922,22.0,495.0,5350.59,4,3.6,0.0,Average quality for the price.,0.0,495.0,22.0,5350.59,3,4,4,11,0.465,0.078,243.21,0.0,3,-0.15,0.4,Negative,0.425,0,At-Risk 🟡,1.220843566525617,-0.46365772663447113
CUST00043,68.0,0,5,138.0,45.75,72.0,26.0,0.916,8.0,355.0,523.42,2,1.6,8.0,Worst purchase ever made.,1.0,355.0,8.0,523.42,2,2,1,5,0.514,0.084,65.43,0.8889,3,-1.0,1.0,Negative,0.0,1,Churned 🔴,-1.9095860614324587,-0.6329216357401626
CUST00044,24.0,1,2,45.0,4.79,73.0,34.0,0.891,4.0,702.0,7688.31,2,3.9,9.0,"Product is okay, nothing special.",1.0,702.0,4.0,7688.31,4,1,5,10,0.3572,0.109,1922.08,1.8,0,0.4286,0.5357,Positive,0.7143,2,Loyal 🟢,-0.2236935560199342,1.3409573149233067
CUST00045,38.0,0,5,65.0,19.25,55.0,11.0,0.885,1.0,953.0,5212.95,4,3.8,4.0,"It works, but nothing amazing.",1.0,953.0,1.0,5212.95,5,1,4,10,0.2769,0.115,5212.95,2.0,2,0.6,0.9,Positive,0.8,2,Loyal 🟢,-0.7882087325774735,2.642830198836163
CUST00046,26.0,0,9,67.0,46.91,91.0,8.0,0.118,20.0,1002.0,3364.07,5,3.1,8.0,"Decent product, met basic needs.",1.0,1002.0,20.0,3364.07,5,4,3,12,0.3748,0.882,168.2,0.381,1,0.0833,0.3958,Neutral,0.5417,0,At-Risk 🟡,1.104324365632845,-0.541258520873472
CUST00047,56.0,0,5,137.0,9.86,6.0,33.0,0.144,13.0,629.0,4024.42,1,2.1,7.0,"Very disappointed, poor quality.",0.0,629.0,13.0,4024.42,3,3,3,9,0.3628,0.856,309.57,0.5,3,-0.6875,0.7875,Negative,0.1562,1,Churned 🔴,-0.22192050398269556,-0.15537114922398687
CUST00048,35.0,0,2,133.0,54.44,70.0,13.0,0.118,17.0,503.0,3496.29,0,4.2,8.0,Amazing value for money!,0.0,503.0,17.0,3496.29,3,3,3,9,0.4612,0.882,205.66,0.4444,1,0.75,0.9,Positive,0.875,0,At-Risk 🟡,0.09285862182401029,-0.5015793445148362
CUST00049,21.0,1,1,106.0,31.0,68.0,36.0,0.091,12.0,932.0,276.47,3,3.0,8.0,Average quality for the price.,1.0,932.0,12.0,276.47,5,3,1,9,0.4795,0.909,23.04,0.6154,0,-0.15,0.4,Negative,0.425,1,Churned 🔴,-0.518550652884663,-0.714918700023278
CUST00050,42.0,1,3,138.0,15.2,86.0,2.0,0.353,11.0,619.0,6642.95,5,1.2,7.0,Product broke after one day.,1.0,619.0,11.0,6642.95,3,2,4,9,0.4086,0.647,603.9,0.5833,2,0.0,0.0,Neutral,0.5,1,Churned 🔴,-0.17184905103949516,0.3899807097506859
CUST00051,31.0,0,5,140.0,16.52,40.0,43.0,0.684,14.0,889.0,3585.26,0,4.7,2.0,Highly recommend this product.,1.0,889.0,14.0,3585.26,5,3,3,11,0.4843,0.316,256.09,0.1333,1,0.16,0.54,Positive,0.58,0,At-Risk 🟡,0.5643740516605602,-0.32669268340131086
CUST00052,67.0,0,3,82.0,78.11,91.0,43.0,0.355,20.0,317.0,948.69,3,4.1,6.0,Super satisfied with purchase.,0.0,317.0,20.0,948.69,2,4,1,7,0.576,0.645,47.43,0.2857,3,0.4167,0.8333,Positive,0.7083,1,Churned 🔴,-0.4332257072976049,-1.0951801476266816
CUST00053,26.0,0,8,58.0,7.37,66.0,20.0,0.72,14.0,526.0,5708.6,1,3.3,3.0,Average quality for the price.,0.0,526.0,14.0,5708.6,3,3,4,10,0.3099,0.28,407.76,0.2,1,-0.15,0.4,Negative,0.425,0,At-Risk 🟡,0.3475018834126728,0.007170093102446329
CUST00054,43.0,1,4,149.0,35.46,9.0,6.0,0.82,28.0,167.0,5938.29,2,2.7,7.0,"Product is okay, nothing special.",0.0,167.0,28.0,5938.29,1,5,4,10,0.3106,0.18,212.08,0.2414,2,0.4286,0.5357,Positive,0.7143,0,At-Risk 🟡,1.283390118751462,-0.6665466358480485
CUST00055,43.0,1,4,149.0,36.86,11.0,32.0,0.666,24.0,348.0,1200.78,4,4.8,6.0,Super satisfied with purchase.,0.0,348.0,24.0,1200.78,2,4,1,7,0.4204,0.334,50.03,0.24,2,0.4167,0.8333,Positive,0.7083,0,At-Risk 🟡,-0.13256406843708948,-1.2771509215203807
CUST00056,37.0,0,2,193.0,76.7,20.0,34.0,0.465,22.0,762.0,7960.33,1,4.1,8.0,"Perfect, exactly what I needed.",0.0,762.0,22.0,7960.33,4,4,5,13,0.5621,0.535,361.83,0.3478,2,0.625,0.625,Positive,0.8125,0,At-Risk 🟡,1.9726663485190015,-0.013913723336056267
CUST00057,45.0,0,8,131.0,37.47,43.0,10.0,0.296,22.0,337.0,3048.67,3,3.0,7.0,"Decent product, met basic needs.",0.0,337.0,22.0,3048.67,2,4,3,9,0.3706,0.704,138.58,0.3043,2,0.0833,0.3958,Neutral,0.5417,0,At-Risk 🟡,0.3543308761799833,-0.7863942278257317
CUST00058,64.0,0,4,69.0,26.35,58.0,44.0,0.124,0.0,368.0,995.97,5,3.6,2.0,Average quality for the price.,0.0,368.0,0.0,995.97,2,1,1,4,0.4297,0.876,0.0,2.0,3,-0.15,0.4,Negative,0.425,1,Churned 🔴,-2.684639160643941,-0.2794811741396254
CUST00059,24.0,1,2,89.0,69.84,78.0,31.0,0.494,24.0,666.0,5359.17,4,3.0,4.0,Product broke after one day.,0.0,666.0,24.0,5359.17,4,4,4,12,0.502,0.506,223.3,0.16,0,0.0,0.0,Neutral,0.5,0,At-Risk 🟡,1.588574786180295,-0.4833914904760161
CUST00060,61.0,0,5,64.0,53.01,26.0,21.0,0.72,21.0,549.0,4540.71,3,1.8,2.0,Complete waste of money.,0.0,549.0,21.0,4540.71,3,4,4,11,0.2985,0.28,216.22,0.0909,3,-0.05,0.2,Neutral,0.475,0,At-Risk 🟡,0.9772014443947833,-0.4603688874203571
CUST00061,25.0,1,8,177.0,37.85,38.0,41.0,0.548,6.0,949.0,934.1,0,2.1,8.0,Worst purchase ever made.,1.0,949.0,6.0,934.1,5,2,1,8,0.5544,0.452,155.68,1.1429,0,-1.0,1.0,Negative,0.0,1,Churned 🔴,-1.1455412136441532,-0.3489106405326569
CUST00062,43.0,0,9,72.0,1.0,94.0,18.0,0.721,12.0,745.0,10292.27,0,2.2,0.0,Customer support was useless.,0.0,745.0,12.0,10292.27,4,3,5,12,0.3717,0.279,857.69,0.0,2,-0.5,0.2,Negative,0.25,0,At-Risk 🟡,1.1159355291635926,0.9397035200107585
CUST00063,52.0,1,9,17.0,20.73,36.0,35.0,0.335,27.0,2.0,9639.08,5,4.0,6.0,Best purchase this year!,0.0,2.0,27.0,9639.08,1,5,5,11,0.264,0.665,357.0,0.2143,3,1.0,0.3,Positive,1.0,0,At-Risk 🟡,1.7872434922608134,-0.07975325199721428
CUST00064,31.0,1,9,73.0,29.98,99.0,36.0,0.067,17.0,594.0,9046.91,0,1.6,8.0,Product broke after one day.,0.0,594.0,17.0,9046.91,3,3,5,11,0.4911,0.933,532.17,0.4444,1,0.0,0.0,Neutral,0.5,0,At-Risk 🟡,1.0058188982607126,0.44992048406631086
CUST00065,34.0,0,1,160.0,22.16,55.0,10.0,0.771,0.0,761.0,2547.7,4,4.1,2.0,"Perfect, exactly what I needed.",1.0,761.0,0.0,2547.7,4,1,2,7,0.4197,0.229,0.0,2.0,1,0.625,0.625,Positive,0.8125,1,Churned 🔴,-1.6279161772846507,-0.05406955338095047
CUST00066,53.0,0,9,70.0,11.54,6.0,40.0,0.22,10.0,149.0,8704.08,2,3.1,6.0,Average quality for the price.,0.0,149.0,10.0,8704.08,1,2,5,8,0.2919,0.78,870.41,0.5455,3,-0.15,0.4,Negative,0.425,1,Churned 🔴,-0.35192119342170775,0.7319368534765501
CUST00067,67.0,1,8,113.0,4.68,3.0,12.0,0.616,12.0,318.0,9315.05,2,2.5,6.0,"Not as described, very unhappy.",0.0,318.0,12.0,9315.05,2,3,5,10,0.2302,0.384,776.25,0.4615,3,-0.78,1.0,Negative,0.11,0,At-Risk 🟡,0.41351792754471933,0.7289915873475855
CUST00068,57.0,0,7,21.0,24.16,65.0,27.0,0.804,19.0,543.0,28332.83,3,2.2,1.0,Product broke after one day.,0.0,543.0,19.0,28332.83,3,4,5,12,0.3008,0.196,1491.2,0.05,3,0.0,0.0,Neutral,0.5,2,Loyal 🟢,2.937202735613573,3.085938050343372
CUST00069,21.0,1,4,135.0,10.1,64.0,48.0,0.139,27.0,646.0,15803.58,2,3.1,4.0,"It works, but nothing amazing.",0.0,646.0,27.0,15803.58,3,5,5,13,0.5373,0.861,585.32,0.1429,0,0.6,0.9,Positive,0.8,0,At-Risk 🟡,2.85479329556794,0.85743092946594
CUST00070,19.0,1,9,7.0,7.96,58.0,14.0,0.598,8.0,431.0,2413.19,2,3.0,9.0,Product broke after one day.,1.0,431.0,8.0,2413.19,2,2,2,6,0.1936,0.402,301.65,1.0,0,0.0,0.0,Neutral,0.5,1,Churned 🔴,-1.5317401015682313,-0.2731237242001424
CUST00071,23.0,1,8,111.0,15.27,58.0,12.0,0.689,29.0,981.0,1104.51,3,2.7,6.0,"Decent product, met basic needs.",1.0,981.0,29.0,1104.51,5,5,1,11,0.3514,0.311,38.09,0.2,0,0.0833,0.3958,Neutral,0.5417,0,At-Risk 🟡,1.2775332194448357,-1.3342183780266865
CUST00072,59.0,1,0,27.0,46.18,18.0,42.0,0.747,24.0,626.0,1729.82,3,4.0,1.0,"Loved it, will buy again.",0.0,626.0,24.0,1729.82,3,4,2,9,0.3021,0.253,72.08,0.04,3,0.7,0.8,Positive,0.85,0,At-Risk 🟡,0.4629951541347719,-1.1230097698443862
CUST00073,21.0,0,5,8.0,20.07,23.0,32.0,0.148,29.0,1030.0,3413.82,3,3.0,9.0,Okay experience overall.,1.0,1030.0,29.0,3413.82,5,5,3,13,0.2113,0.852,117.72,0.3,0,0.25,0.25,Positive,0.625,0,At-Risk 🟡,1.9642650819411163,-0.9219836709063719
CUST00074,46.0,1,1,28.0,7.32,96.0,7.0,0.825,15.0,449.0,8185.53,4,4.0,9.0,"Loved it, will buy again.",1.0,449.0,15.0,8185.53,3,3,5,11,0.2732,0.175,545.7,0.5625,2,0.7,0.8,Positive,0.85,0,At-Risk 🟡,0.8921322444891191,0.33313759021412426
CUST00075,35.0,0,3,194.0,3.73,29.0,31.0,0.094,10.0,274.0,6418.4,3,3.9,1.0,"It works, but nothing amazing.",0.0,274.0,10.0,6418.4,2,2,4,8,0.4797,0.906,641.84,0.0909,1,0.6,0.9,Positive,0.8,1,Churned 🔴,-0.44416839623994747,0.3323637518265966
CUST00076,43.0,0,2,199.0,20.73,23.0,36.0,0.52,2.0,547.0,7749.08,4,4.3,5.0,Excellent quality and fast delivery.,1.0,547.0,2.0,7749.08,3,1,5,9,0.5161,0.48,3874.54,1.6667,2,0.6,0.8,Positive,0.8,2,Loyal 🟢,-0.7123186351113777,2.281687659116597
CUST00077,61.0,1,0,47.0,47.45,36.0,47.0,0.443,16.0,960.0,2389.59,4,1.8,1.0,"Terrible experience, won't return.",1.0,960.0,16.0,2389.59,5,3,2,10,0.3902,0.557,149.35,0.0588,3,-1.0,1.0,Negative,0.0,0,At-Risk 🟡,0.19066408265720497,-0.5429014310903388
CUST00078,51.0,0,0,86.0,31.74,70.0,3.0,0.222,1.0,663.0,1417.82,4,5.0,9.0,"Loved it, will buy again.",1.0,663.0,1.0,1417.82,4,1,2,7,0.3223,0.778,1417.82,4.5,3,0.7,0.8,Positive,0.85,1,Churned 🔴,-1.7789516419675988,0.41505565096581876
CUST00079,27.0,1,1,10.0,7.92,81.0,17.0,0.302,8.0,451.0,122.13,3,2.9,0.0,"It works, but nothing amazing.",0.0,451.0,8.0,122.13,3,2,1,6,0.2565,0.698,15.27,0.0,1,0.6,0.9,Positive,0.8,1,Churned 🔴,-1.6750897963805682,-0.6614228629194377
CUST00080,53.0,0,2,114.0,17.22,82.0,22.0,0.164,8.0,660.0,4919.95,2,3.9,2.0,Average quality for the price.,0.0,660.0,8.0,4919.95,4,2,4,10,0.4468,0.836,614.99,0.2222,3,-0.15,0.4,Negative,0.425,1,Churned 🔴,-0.11524232173055646,0.28874623588729004
CUST00081,31.0,1,1,33.0,57.98,95.0,28.0,0.426,15.0,73.0,7924.65,5,3.7,0.0,"Product is okay, nothing special.",0.0,73.0,15.0,7924.65,1,3,5,9,0.4253,0.574,528.31,0.0,1,0.4286,0.5357,Positive,0.7143,0,At-Risk 🟡,0.3140954289700675,0.25612783264731326
CUST00082,48.0,1,9,135.0,5.87,6.0,1.0,0.036,27.0,285.0,10997.46,5,3.3,5.0,"It works, but nothing amazing.",0.0,285.0,27.0,10997.46,2,5,5,12,0.2269,0.964,407.31,0.1786,2,0.6,0.9,Positive,0.8,0,At-Risk 🟡,2.1315972504250373,0.17804723999153185
CUST00083,43.0,1,3,131.0,22.78,34.0,12.0,0.889,0.0,156.0,3411.105,2,5.0,3.0,Super satisfied with purchase.,0.0,156.0,0.0,3411.105,1,1,3,5,0.3423,0.111,0.0,3.0,2,0.4167,0.8333,Positive,0.7083,1,Churned 🔴,-2.1243604785483527,-0.04199568721272966
CUST00084,32.0,1,2,14.0,13.21,44.0,15.0,0.163,24.0,803.0,13130.91,3,1.9,1.0,Complete waste of money.,0.0,803.0,24.0,13130.91,4,4,5,13,0.1863,0.837,547.12,0.04,1,-0.05,0.2,Neutral,0.475,0,At-Risk 🟡,2.3504001045033056,0.6920167781851521
