customer_id,age,gender,location,pages_viewed,time_spent_mins,product_views,cart_additions,cart_abandonment_rate,purchase_frequency,days_since_last_purchase,total_spending,payment_method,avg_review_rating,support_interactions,review_text,churn
CUST00035,,Female,Bangalore,10,19.51,1,25,0.794,28,391,1061.91,COD,1.5,9,Complete waste of money.,1
CUST00036,32.0,Female,Pune,66,33.6,82,12,0.296,19,554,2258.8,UPI,3.6,9,Average quality for the price.,0
CUST00037,64.0,Male,Jaipur,8,25.46,19,21,0.963,7,1007,4479.82,COD,2.0,1,"Very disappointed, poor quality.",1
CUST00038,68.0,Female,Delhi,123,130.27,64,45,0.984,7,155,2028.98,COD,3.4,4,"It works, but nothing amazing.",1
CUST00039,61.0,Female,Kolkata,38,52.44,53,22,0.123,15,840,3009.84,Wallet,4.2,1,Highly recommend this product.,0
CUST00040,69.0,Female,Hyderabad,123,9.22,6,43,0.901,17,320,242.22,Credit Card,3.3,5,"It works, but nothing amazing.",0
CUST00041,20.0,Female,Hyderabad,62,38.81,17,42,0.664,7,934,4834.73,UPI,2.7,0,"It works, but nothing amazing.",1
CUST00042,54.0,Female,Kolkata,156,7.24,46,32,0.922,22,495,5350.59,UPI,3.6,0,Average quality for the price.,0
CUST00043,68.0,Female,Jaipur,138,45.75,72,26,0.916,8,355,523.42,Debit Card,1.6,8,Worst purchase ever made.,1
CUST00044,24.0,Male,Chennai,45,4.79,73,34,0.891,4,702,7688.31,Debit Card,3.9,9,"Product is okay, nothing special.",1
CUST00045,38.0,Female,Jaipur,65,19.25,55,11,0.885,1,953,5212.95,UPI,3.8,4,"It works, but nothing amazing.",1
CUST00046,26.0,Female,Surat,67,46.91,91,8,0.118,20,1002,3364.07,Wallet,3.1,8,"Decent product, met basic needs.",1
CUST00047,56.0,Female,Jaipur,137,9.86,6,33,0.144,13,629,4024.42,Credit Card,2.1,7,"Very disappointed, poor quality.",0
CUST00048,35.0,Female,Chennai,133,54.44,70,13,0.118,17,503,3496.29,COD,4.2,8,Amazing value for money!,0
CUST00049,21.0,Male,Bangalore,106,31.0,68,36,0.091,12,932,276.47,Net Banking,3.0,8,Average quality for the price.,1
CUST00050,42.0,Male,Delhi,138,15.2,86,2,0.353,11,619,6642.95,Wallet,1.2,7,Product broke after one day.,1
CUST00051,31.0,Female,Jaipur,140,16.52,40,43,0.684,14,889,3585.26,COD,4.7,2,Highly recommend this product.,1
CUST00052,67.0,Female,Delhi,82,78.11,91,43,0.355,20,317,948.69,Net Banking,4.1,6,Super satisfied with purchase.,0
CUST00053,26.0,Female,Pune,58,7.37,66,20,0.72,14,526,5708.6,Credit Card,3.3,3,Average quality for the price.,0
CUST00054,43.0,Male,Hyderabad,149,35.46,9,6,0.82,28,167,5938.29,Debit Card,2.7,7,"Product is okay, nothing special.",0
CUST00055,,Male,Hyderabad,149,36.86,11,32,0.666,24,348,1200.78,UPI,4.8,6,Super satisfied with purchase.,0
CUST00056,37.0,Female,Chennai,193,76.7,20,34,0.465,22,762,7960.33,Credit Card,4.1,8,"Perfect, exactly what I needed.",0
CUST00057,45.0,Female,Pune,131,37.47,43,10,0.296,22,337,3048.67,Net Banking,,7,"Decent product, met basic needs.",0
CUST00058,64.0,Female,Hyderabad,69,26.35,58,44,0.124,0,368,995.97,Wallet,3.6,2,Average quality for the price.,0
CUST00059,24.0,Male,Chennai,89,69.84,78,31,0.494,24,666,5359.17,UPI,,4,Product broke after one day.,0
CUST00060,61.0,Female,Jaipur,64,53.01,26,21,0.72,21,549,4540.71,Net Banking,1.8,2,Complete waste of money.,0
CUST00061,25.0,Male,Pune,177,37.85,38,41,0.548,6,949,934.1,COD,2.1,8,Worst purchase ever made.,1
CUST00062,,Female,Surat,72,1.0,94,18,0.721,12,745,10292.27,COD,2.2,0,Customer support was useless.,0
CUST00063,52.0,Male,Surat,17,,36,35,0.335,27,2,9639.08,Wallet,4.0,6,Best purchase this year!,0
CUST00064,31.0,Male,Surat,73,29.98,99,36,0.067,17,594,9046.91,COD,1.6,8,Product broke after one day.,0
CUST00065,34.0,Female,Bangalore,160,22.16,55,10,0.771,0,761,2547.7,UPI,4.1,2,"Perfect, exactly what I needed.",1
CUST00066,53.0,Female,Surat,70,11.54,6,40,0.22,10,149,8704.08,Debit Card,3.1,6,Average quality for the price.,0
CUST00067,67.0,Male,Pune,113,4.68,3,12,0.616,12,318,9315.05,Debit Card,2.5,6,"Not as described, very unhappy.",0
CUST00068,57.0,Female,Mumbai,21,24.16,65,27,0.804,19,543,28332.83,Net Banking,2.2,1,Product broke after one day.,0
CUST00069,21.0,Male,Hyderabad,135,10.1,64,48,0.139,27,646,15803.58,Debit Card,3.1,4,"It works, but nothing amazing.",0
CUST00070,19.0,Male,Surat,7,7.96,58,14,0.598,8,431,2413.19,Debit Card,,9,Product broke after one day.,1
CUST00071,23.0,Male,Pune,111,15.27,58,12,0.689,29,981,1104.51,Net Banking,2.7,6,"Decent product, met basic needs.",1
CUST00072,59.0,Male,Ahmedabad,27,46.18,18,42,0.747,24,626,1729.82,Net Banking,4.0,1,"Loved it, will buy again.",0
CUST00073,21.0,Female,Jaipur,8,20.07,23,32,0.148,29,1030,3413.82,Net Banking,,9,Okay experience overall.,1
CUST00074,46.0,Male,Bangalore,28,7.32,96,7,0.825,15,449,8185.53,UPI,4.0,9,"Loved it, will buy again.",1
CUST00075,35.0,Female,Delhi,194,3.73,29,31,0.094,10,274,6418.4,Net Banking,3.9,1,"It works, but nothing amazing.",0
CUST00076,43.0,Female,Chennai,199,20.73,23,36,0.52,2,547,7749.08,UPI,4.3,5,Excellent quality and fast delivery.,1
CUST00077,61.0,Male,Ahmedabad,47,47.45,36,47,0.443,16,960,2389.59,UPI,1.8,1,"Terrible experience, won't return.",1
CUST00078,51.0,Female,Ahmedabad,86,31.74,70,3,0.222,1,663,1417.82,UPI,5.0,9,"Loved it, will buy again.",1
CUST00079,27.0,Male,Bangalore,10,7.92,81,17,0.302,8,451,122.13,Net Banking,2.9,0,"It works, but nothing amazing.",0
CUST00080,53.0,Female,Chennai,114,17.22,82,22,0.164,8,660,4919.95,Debit Card,3.9,2,Average quality for the price.,0
CUST00081,31.0,Male,Bangalore,33,57.98,95,28,0.426,15,73,7924.65,Wallet,3.7,0,"Product is okay, nothing special.",0
CUST00082,48.0,Male,Surat,135,5.87,6,1,0.036,27,285,10997.46,Wallet,3.3,5,"It works, but nothing amazing.",0
CUST00083,,Male,Delhi,131,22.78,34,12,0.889,0,156,,Debit Card,5.0,3,Super satisfied with purchase.,0
CUST00084,32.0,Male,Chennai,14,13.21,44,15,0.163,24,803,13130.91,Net Banking,1.9,1,Complete waste of money.,0
CUST00085,25.0,Male,Pune,172,3.98,44,7,0.886,16,553,1130.82,Debit Card,2.7,6,"It works, but nothing amazing.",1
CUST00086,31.0,Female,Hyderabad,46,1.54,27,18,0.864,9,810,3611.62,Net Banking,1.5,6,Never buying from here again.,1
CUST00087,40.0,Female,Bangalore,61,24.35,52,31,0.452,19,590,1202.52,UPI,1.7,7,Worst purchase ever made.,1
CUST00088,57.0,Female,Delhi,164,1.0,42,2,0.498,4,557,1041.74,COD,,6,Average quality for the price.,1
CUST00089,38.0,Female,Jaipur,13,3.28,25,48,0.302,7,218,15329.5,Credit Card,1.0,0,"Not as described, very unhappy.",0
CUST00090,33.0,Male,Mumbai,16,12.81,74,31,0.997,12,278,8511.62,Wallet,4.6,2,Excellent quality and fast delivery.,0
CUST00091,62.0,Male,Jaipur,133,1.33,39,40,0.671,20,354,59.35,Net Banking,3.5,0,Average quality for the price.,0
CUST00092,35.0,Male,Mumbai,38,15.35,39,20,0.952,4,646,,UPI,2.8,1,Average quality for the price.,1
CUST00093,64.0,Male,Kolkata,178,4.19,12,24,0.415,3,812,1147.92,COD,,0,"Very disappointed, poor quality.",1
CUST00094,41.0,Female,Pune,38,12.92,11,16,0.883,24,52,795.77,UPI,1.5,8,Worst purchase ever made.,0
CUST00095,43.0,Female,Kolkata,103,46.99,3,24,0.448,28,85,5976.92,Credit Card,4.7,6,"Perfect, exactly what I needed.",0
CUST00096,42.0,Male,Bangalore,56,29.53,22,32,0.867,7,909,4183.22,Wallet,3.8,8,Okay experience overall.,1
CUST00097,62.0,Male,Bangalore,63,17.69,4,30,0.131,24,999,3025.08,Debit Card,2.3,7,"Not as described, very unhappy.",1
CUST00098,58.0,Female,Mumbai,120,2.89,8,35,0.637,22,871,1050.5,Debit Card,1.3,9,"Not as described, very unhappy.",1
CUST00099,46.0,Female,Chennai,48,28.96,14,22,0.679,6,782,1626.01,UPI,2.3,1,"Very disappointed, poor quality.",1
CUST00100,32.0,Male,Delhi,105,5.36,84,46,0.656,4,768,2201.07,Credit Card,1.7,0,Customer support was useless.,1
CUST00101,62.0,Female,Surat,59,2.39,88,43,0.447,9,231,7696.82,UPI,4.1,4,Excellent quality and fast delivery.,0
CUST00102,18.0,Female,Ahmedabad,77,32.72,14,24,0.684,16,965,22636.16,Debit Card,3.9,6,"Decent product, met basic needs.",1
CUST00103,42.0,Male,Bangalore,172,72.93,92,48,0.239,27,307,1016.56,UPI,3.0,1,Average quality for the price.,0
CUST00104,24.0,Male,Kolkata,127,18.52,16,43,0.596,5,314,2089.13,COD,4.5,3,Best purchase this year!,0
CUST00105,26.0,Female,Kolkata,55,1.26,32,47,0.554,9,137,1643.92,Credit Card,1.7,6,Customer support was useless.,0
CUST00106,41.0,Female,Jaipur,55,63.68,64,29,0.318,15,12,225.34,Debit Card,2.8,8,Average quality for the price.,0
CUST00107,18.0,Female,Pune,129,2.08,76,12,0.779,21,581,1237.3,Wallet,3.8,5,"Decent product, met basic needs.",1
CUST00108,61.0,Male,Mumbai,136,60.64,16,42,0.081,9,1072,11594.28,Wallet,1.3,6,Never buying from here again.,1
CUST00109,25.0,Male,Ahmedabad,127,14.92,52,46,0.171,3,861,9253.03,UPI,2.5,7,Never buying from here again.,1
CUST00110,41.0,Female,Mumbai,132,13.64,19,28,0.471,1,549,917.19,Credit Card,3.3,7,Average quality for the price.,1
CUST00111,28.0,Female,Bangalore,85,23.48,69,15,0.892,0,399,2279.82,UPI,2.5,8,Product broke after one day.,1
CUST00112,68.0,Male,Hyderabad,115,94.46,12,37,0.575,2,867,1861.14,Debit Card,2.9,9,Average quality for the price.,1
CUST00113,34.0,Female,Ahmedabad,181,68.7,93,26,0.842,26,494,799.32,Credit Card,3.4,1,Average quality for the price.,0
CUST00114,25.0,Female,Jaipur,58,19.07,5,25,0.518,12,205,4867.06,Debit Card,2.5,6,"Very disappointed, poor quality.",0
CUST00115,52.0,Female,Kolkata,37,35.7,42,10,0.785,28,772,4074.29,COD,1.4,1,Complete waste of money.,0
CUST00116,52.0,Female,Jaipur,49,26.06,17,46,0.326,24,166,2784.27,COD,,6,"Very disappointed, poor quality.",0
CUST00117,50.0,Female,Bangalore,67,,72,36,0.815,11,1089,9672.32,Wallet,3.1,8,"It works, but nothing amazing.",1
CUST00118,22.0,Male,Hyderabad,19,53.04,94,2,0.402,0,556,4834.12,Net Banking,,3,Complete waste of money.,1
CUST00119,59.0,Female,Surat,129,1.05,10,25,0.559,20,70,1500.62,Credit Card,4.6,4,"Perfect, exactly what I needed.",0
CUST00120,56.0,Male,Ahmedabad,29,11.83,84,33,0.176,9,730,2339.67,COD,4.3,4,"Perfect, exactly what I needed.",0
CUST00121,58.0,Female,Mumbai,87,96.07,16,32,0.92,5,56,813.52,Net Banking,2.4,1,"Not as described, very unhappy.",0
CUST00122,45.0,Male,Ahmedabad,33,89.48,16,14,0.701,8,878,4474.77,Wallet,4.3,2,Excellent quality and fast delivery.,1
CUST00123,24.0,Female,Kolkata,119,1.0,42,1,0.859,0,484,4417.05,Credit Card,3.1,9,Average quality for the price.,1
CUST00124,26.0,Male,Mumbai,180,6.75,3,27,0.208,11,56,10208.17,Debit Card,1.6,0,Never buying from here again.,0
CUST00125,25.0,Male,Surat,169,152.35,23,19,0.068,4,688,9683.35,UPI,3.5,2,Okay experience overall.,0
CUST00126,29.0,Male,Surat,151,20.37,86,37,0.337,0,782,9068.25,UPI,3.7,4,"Decent product, met basic needs.",1
CUST00127,51.0,Male,Pune,133,25.52,28,43,0.517,1,330,3980.91,Debit Card,1.3,8,Customer support was useless.,1
CUST00128,50.0,Female,Mumbai,71,5.46,45,15,0.802,13,765,5278.05,COD,2.3,0,Never buying from here again.,1
CUST00129,65.0,Female,Delhi,185,67.42,68,45,0.398,1,9,7470.33,UPI,1.0,5,"Not as described, very unhappy.",0
CUST00130,40.0,Female,Hyderabad,134,7.89,24,3,0.27,26,1094,480.82,Debit Card,2.3,1,Complete waste of money.,0
CUST00131,41.0,Male,Delhi,177,6.31,19,7,0.373,4,432,1787.65,Net Banking,2.3,5,Complete waste of money.,1
CUST00132,54.0,Male,Surat,22,7.77,75,43,0.704,9,95,926.17,Net Banking,3.5,9,"Product is okay, nothing special.",0
CUST00133,52.0,Male,Mumbai,77,75.63,40,45,0.336,19,1056,3581.75,Debit Card,1.8,5,Complete waste of money.,1
CUST00134,61.0,Male,Pune,4,36.41,46,19,0.979,5,866,9090.56,Credit Card,,0,Customer support was useless.,1
CUST00135,57.0,Female,Ahmedabad,72,43.91,40,25,0.175,4,352,1311.45,COD,2.3,4,Complete waste of money.,0
CUST00136,39.0,Male,Ahmedabad,192,14.2,62,31,0.753,1,466,6563.43,COD,4.3,9,"Great product, very happy!",1
CUST00137,44.0,Male,Ahmedabad,165,71.97,18,12,0.589,8,605,2602.9,Debit Card,2.6,1,Okay experience overall.,0
CUST00138,52.0,Male,Pune,159,46.73,12,4,0.233,28,977,11669.08,UPI,2.7,0,"Product is okay, nothing special.",0
CUST00139,18.0,Male,Bangalore,165,41.66,14,43,0.754,9,602,4928.06,Wallet,2.9,8,"Decent product, met basic needs.",1
CUST00140,52.0,Female,Mumbai,128,106.15,82,41,0.448,7,934,18765.06,COD,4.0,5,Best purchase this year!,1
CUST00141,54.0,Female,Delhi,45,13.68,61,12,0.682,24,920,1409.63,COD,2.9,0,"Product is okay, nothing special.",1
CUST00142,64.0,Male,Hyderabad,136,28.32,12,40,0.662,26,100,12882.37,Net Banking,,9,"Not as described, very unhappy.",0
CUST00143,31.0,Male,Surat,168,72.21,27,10,0.111,5,954,2208.49,Net Banking,1.8,8,Complete waste of money.,1
CUST00144,20.0,Male,Hyderabad,93,46.95,6,36,0.84,4,5,4863.88,Net Banking,1.8,8,"Very disappointed, poor quality.",1
CUST00145,18.0,Male,Surat,5,24.86,88,31,0.681,20,838,958.88,Wallet,3.0,6,Okay experience overall.,1
CUST00146,22.0,Male,Mumbai,156,2.38,33,44,0.781,17,833,7131.11,COD,1.1,8,Complete waste of money.,1
CUST00147,43.0,Female,Mumbai,104,31.73,80,41,0.448,26,122,19140.81,COD,2.1,0,"Very disappointed, poor quality.",0
CUST00148,31.0,Female,Jaipur,81,22.43,50,17,0.195,19,757,7742.33,Wallet,3.4,2,Average quality for the price.,0
CUST00149,56.0,Female,Delhi,87,6.11,12,28,0.326,17,553,4782.92,COD,2.4,7,Worst purchase ever made.,0
CUST00150,44.0,Male,Kolkata,137,64.18,95,14,0.901,1,15,2972.97,UPI,3.8,2,"Decent product, met basic needs.",0
CUST00151,26.0,Male,Surat,130,12.61,57,19,0.938,11,229,2117.4,UPI,2.6,7,"Decent product, met basic needs.",1
CUST00152,32.0,Female,Chennai,63,14.71,53,43,0.482,7,662,2715.13,UPI,4.9,2,Amazing value for money!,0
CUST00153,,Female,Kolkata,51,33.48,13,35,0.299,3,684,1989.63,Credit Card,4.9,3,Amazing value for money!,0
CUST00154,43.0,Female,Ahmedabad,116,20.13,72,4,0.73,27,457,8940.13,COD,4.2,3,Best purchase this year!,0
CUST00155,59.0,Male,Hyderabad,113,2.81,3,39,0.766,29,278,11179.83,Wallet,,4,"Loved it, will buy again.",0
CUST00156,30.0,Female,Mumbai,31,14.7,64,36,0.815,19,331,14944.55,COD,1.8,9,Complete waste of money.,1
CUST00157,,Male,Chennai,7,2.98,84,32,0.031,22,198,2709.54,Wallet,4.0,9,Amazing value for money!,0
CUST00158,49.0,Female,Surat,158,,58,17,0.01,3,36,3950.71,Debit Card,2.3,3,"Very disappointed, poor quality.",0
CUST00159,56.0,Female,Bangalore,186,1.0,4,18,0.357,8,171,4300.68,Debit Card,3.9,6,Okay experience overall.,0
CUST00160,66.0,Female,Surat,3,6.0,45,31,0.152,8,848,5264.68,Credit Card,2.5,3,Product broke after one day.,1
CUST00161,69.0,Male,Hyderabad,51,12.03,66,41,0.805,11,588,12.3,Debit Card,2.2,0,Never buying from here again.,1
CUST00162,49.0,Female,Surat,56,23.18,36,21,0.533,13,635,9247.67,UPI,4.8,4,Best purchase this year!,0
CUST00163,21.0,Male,Surat,73,75.5,23,40,0.825,29,964,1560.83,Credit Card,1.8,7,"Terrible experience, won't return.",1
CUST00164,47.0,Male,Pune,10,,19,0,0.177,2,403,3194.85,Credit Card,4.0,5,Excellent quality and fast delivery.,0
CUST00165,54.0,Male,Delhi,61,36.68,40,24,0.627,5,1052,9212.16,Credit Card,3.7,3,Average quality for the price.,1
CUST00166,,Female,Kolkata,50,13.28,72,19,0.58,14,624,28811.53,Net Banking,2.2,3,Product broke after one day.,0
CUST00167,56.0,Male,Bangalore,122,41.79,16,34,0.34,22,644,7920.89,Debit Card,2.8,0,"Decent product, met basic needs.",0
CUST00168,62.0,Male,Mumbai,175,29.06,58,44,0.517,18,1081,125.73,COD,1.6,9,Complete waste of money.,1
CUST00169,32.0,Female,Surat,1,18.47,18,5,0.589,3,950,2300.3,Net Banking,4.7,0,Highly recommend this product.,1
CUST00170,60.0,Male,Bangalore,185,6.46,36,5,0.889,29,975,1419.85,Wallet,4.9,2,Best purchase this year!,1
CUST00171,46.0,Female,Jaipur,38,10.85,24,49,0.056,0,627,16639.51,UPI,,3,"Product is okay, nothing special.",0
CUST00172,53.0,Male,Surat,190,29.1,1,36,0.823,26,957,1534.18,Net Banking,4.4,3,"Loved it, will buy again.",1
CUST00173,30.0,Male,Pune,79,16.66,1,48,0.98,8,1031,14354.33,UPI,1.3,1,Never buying from here again.,1
CUST00174,49.0,Female,Pune,89,66.05,64,2,0.732,22,419,13864.34,COD,2.5,8,"Not as described, very unhappy.",1
CUST00175,24.0,Male,Chennai,198,8.03,62,36,0.737,25,950,9144.51,COD,2.3,7,Never buying from here again.,1
CUST00176,,Male,Ahmedabad,82,2.28,36,30,0.218,15,43,516.1,Debit Card,3.3,2,"Product is okay, nothing special.",0
CUST00177,39.0,Female,Hyderabad,193,26.7,75,34,0.523,22,608,9.99,Wallet,1.7,1,Worst purchase ever made.,0
CUST00178,45.0,Female,Kolkata,190,65.16,18,44,0.706,8,525,7896.56,Net Banking,3.3,0,"It works, but nothing amazing.",1
CUST00179,19.0,Female,Jaipur,184,13.61,16,14,0.602,11,101,9267.08,COD,3.6,9,Average quality for the price.,0
CUST00180,59.0,Male,Hyderabad,67,31.3,17,16,0.385,13,657,16374.81,UPI,1.5,8,"Terrible experience, won't return.",1
CUST00181,62.0,Male,Hyderabad,17,7.9,24,14,0.94,14,825,1231.95,COD,1.5,4,"Terrible experience, won't return.",1
CUST00182,23.0,Female,Chennai,127,24.53,98,4,0.514,21,127,6605.28,Debit Card,1.1,7,"Terrible experience, won't return.",0
CUST00183,45.0,Female,Pune,112,46.36,68,21,0.97,23,598,3660.11,UPI,4.0,3,Best purchase this year!,0
CUST00184,45.0,Female,Delhi,136,60.53,99,45,0.564,20,127,1991.07,Credit Card,2.3,1,Customer support was useless.,0
CUST00185,,Female,Bangalore,60,,79,10,0.793,15,262,4660.72,Wallet,1.9,4,"Terrible experience, won't return.",0
CUST00186,61.0,Female,Mumbai,40,13.22,2,27,0.742,7,706,3972.57,Debit Card,,7,Super satisfied with purchase.,1
CUST00187,37.0,Female,Delhi,89,30.62,95,13,0.661,27,902,1728.64,Debit Card,1.6,5,Product broke after one day.,1
CUST00188,47.0,Male,Delhi,190,1.06,73,38,0.014,9,897,1563.03,Credit Card,2.7,7,"Decent product, met basic needs.",1
CUST00189,28.0,Female,Ahmedabad,41,35.2,10,2,0.077,13,213,3333.31,Wallet,4.0,2,Super satisfied with purchase.,0
CUST00190,45.0,Male,Ahmedabad,140,22.53,53,41,0.581,16,370,3212.62,COD,3.3,4,"Product is okay, nothing special.",0
CUST00191,,Male,Delhi,115,10.21,89,10,0.912,2,228,1798.06,Debit Card,3.2,1,Average quality for the price.,0
CUST00192,56.0,Female,Pune,100,50.57,51,29,0.601,3,254,1530.8,Credit Card,1.6,2,Customer support was useless.,1
CUST00193,,Female,Hyderabad,117,10.28,69,37,0.236,15,139,15429.1,Wallet,1.7,6,Product broke after one day.,0
CUST00194,18.0,Male,Bangalore,182,142.73,14,4,0.32,13,985,9915.95,Credit Card,3.3,0,Average quality for the price.,0
CUST00195,44.0,Male,Hyderabad,89,50.85,66,21,0.623,26,894,8485.31,Wallet,,7,Product broke after one day.,1
CUST00196,69.0,Male,Hyderabad,93,36.93,82,12,0.597,24,971,1205.8,Debit Card,4.5,4,"Loved it, will buy again.",1
CUST00197,30.0,Female,Hyderabad,139,1.9,93,43,0.956,23,271,1049.23,Net Banking,2.4,1,"Very disappointed, poor quality.",0
CUST00198,58.0,Female,Bangalore,60,70.4,53,20,0.529,13,401,8286.03,Debit Card,2.7,2,"Decent product, met basic needs.",0
CUST00199,20.0,Male,Bangalore,68,46.83,84,36,0.355,15,872,1020.84,Wallet,2.0,3,Worst purchase ever made.,1
CUST00200,,Male,Chennai,78,7.8,64,24,0.525,7,586,3501.22,Net Banking,4.5,1,Amazing value for money!,0
CUST00201,23.0,Female,Kolkata,46,14.94,72,20,0.786,17,703,1251.43,COD,3.6,9,"Decent product, met basic needs.",1
CUST00202,25.0,Male,Delhi,38,9.39,49,27,0.54,6,706,2374.64,Credit Card,2.8,4,"It works, but nothing amazing.",1
CUST00203,44.0,Female,Surat,189,124.85,90,40,0.326,27,177,9602.09,UPI,3.3,6,Average quality for the price.,0
CUST00204,26.0,Other,Chennai,17,57.76,62,3,0.339,2,808,11101.26,Debit Card,2.5,8,"Terrible experience, won't return.",1
CUST00205,54.0,Male,Chennai,66,79.87,37,28,0.757,5,231,28537.82,UPI,2.9,0,Average quality for the price.,0
CUST00206,50.0,Female,Mumbai,36,46.64,49,46,0.066,19,720,14403.48,COD,2.4,9,"Not as described, very unhappy.",1
CUST00207,68.0,Male,Surat,74,18.28,68,34,0.275,15,525,5562.3,Debit Card,2.6,5,"Product is okay, nothing special.",0
CUST00208,59.0,Male,Ahmedabad,7,6.9,33,22,0.153,21,148,2825.76,UPI,2.3,5,Worst purchase ever made.,0
CUST00209,61.0,Female,Mumbai,16,,22,6,0.945,3,584,297.12,COD,1.3,0,"Very disappointed, poor quality.",1
CUST00210,41.0,Male,Ahmedabad,14,4.94,70,45,0.09,18,941,4684.59,Net Banking,1.1,1,Never buying from here again.,0
CUST00211,32.0,Other,Kolkata,80,23.73,33,45,0.758,1,188,1182.92,COD,1.7,7,Never buying from here again.,1
CUST00212,49.0,Female,Jaipur,25,75.76,28,8,0.63,3,895,9490.14,Debit Card,2.0,5,Never buying from here again.,1
